segment-class,agr,hub,jiv,acu
consonant,p,p,p,p
consonant,m,m,m,m
consonant,t,t,t,t
consonant,n,n,n,n
consonant,ɾ,ɾ,ɾ,ɾ
consonant,s,s,s,s
consonant,ʃ,ʃ,ʃ,ʃ
consonant,NA,j,j,j
consonant,k,k,k,k
consonant,NA,ŋ,NA,ŋ
consonant,NA,NA,NA,x
consonant,ʔ,ʔ,NA,ʔ
consonant,h,h,h,NA
vowel,i,i,i,i
vowel,ĩ,ĩ,ĩ,ĩ
vowel,NA,NA,i:,NA
vowel,ɨ,NA,ɨ,ɨ
vowel,ɨ̃,NA,ɨ̃,ɨ̃
vowel,NA,NA,ɨ:,NA
vowel,u,u,u,u
vowel,ũ,ũ,ũ,ũ
vowel,NA,NA,u:,NA
vowel,NA,ɯ,NA,NA
vowel,NA,ɯ̃,NA,NA
vowel,NA,NA,NA,NA
vowel,a,a,a,a
vowel,ã,ã,ã,ã
vowel,NA,NA,a:,NA
